gid,state,latitude,longitude
4234551,Assam,26.6239,92.7944
4234880,Assam,26.6422,92.7945
4239566,Assam,26.6266,92.7965
4239709,Assam,26.6978,93.0836
4240098,Assam,26.7447,92.5746
4248435,Assam,26.6685,92.8143
4248493,Assam,26.6025,92.4413
4248506,Assam,26.6874,92.5424
4248702,Assam,26.703,92.4736
4258239,Assam,26.7206,92.9179
4262753,Assam,26.722,92.9281
4263937,Assam,26.7366,93.0395
4263945,Assam,26.7202,92.9296
4263946,Assam,26.7229,92.9255
4263950,Assam,26.675,92.8299
4263952,Assam,26.6206,92.7985
4263953,Assam,26.6206,92.7985
4263956,Assam,26.7081,92.7657
4263962,Assam,26.816,92.682
4263964,Assam,26.6981,92.572
4263968,Assam,26.7042,92.4825
4263972,Assam,26.697,92.3901
4266977,Assam,26.8378,93.022
4266996,Assam,26.8564,92.9744
4267005,Assam,26.7877,92.9288
4267006,Assam,26.7207,92.9271
4267009,Assam,26.722,92.9207
4267030,Assam,26.6809,92.8492
4267033,Assam,26.6681,92.8384
4267037,Assam,26.8176,92.8199
4267044,Assam,26.619,92.7967
4267045,Assam,26.861,92.7846
4267062,Assam,26.8266,92.7424
4267088,Assam,26.7909,92.7015
4267090,Assam,26.811,92.6925
4267091,Assam,26.8186,92.6842
4267104,Assam,26.6783,92.66
4267108,Assam,26.8093,92.6479
4267109,Assam,26.8094,92.6469
4267114,Assam,26.6916,92.6036
4267120,Assam,26.7892,92.5783
4267121,Assam,26.8031,92.5762
4267125,Assam,26.8622,92.5731
4267136,Assam,26.7043,92.5172
4267141,Assam,26.7524,92.4918
4267143,Assam,26.7088,92.4777
4267144,Assam,26.6315,92.4776
4267147,Assam,26.6879,92.472
4267149,Assam,26.8099,92.451
4267151,Assam,26.7026,92.4447
4267156,Assam,26.7578,92.403
4267157,Assam,26.7521,92.3846
4267163,Assam,26.755,92.3433
4214301,Assam,26.6279,92.7783
4214913,Assam,26.9187,92.6637
4215597,Assam,26.7362,92.7894
4221732,Assam,26.8612,92.7852
4221866,Assam,26.6533,92.7684
4222495,Assam,26.6592,92.8306
4224011,Assam,26.7627,92.5418
4225394,Assam,26.6222,92.7963
4227793,Assam,26.6311,92.7884
4229011,Assam,26.6267,92.7968
4229187,Assam,26.6283,92.7895
